channel	dur	id	rank	set	subs	title	upload	views	affiliate	age_days	categories	chapters	comment_per_10k	comments	cta	desc_head	desc_len	fps	h	has_subs	hashtags	lang	like_rate_pct	likes	links	m_cuts	m_cuts_first10s	m_cuts_on_onset_pct	m_cuts_on_word_pct	m_cuts_per_min	m_dur	m_first_cut	m_first_word	m_fps	m_grid_step	m_h	m_harm_over_perc	m_longest_hold	m_max_pause	m_median_cut_to_word	m_median_shot	m_onsets	m_onsets_per_min	m_pct_shots_under2s	m_silent_pct	m_talk_pct	m_w	m_words	m_wpm	n_tags	recipe_in_desc	socials	tags	url	views_per_day	w
Iramsfoodstory 	16	eNzWAWN2hsM	6	short	240000	Bakery style thick chocolate chip cookies 🍪	20251101	14684182	False	291	People & Blogs	0	0.9	1300	False	Thick chocolate chip cookies  ⏎  ⏎ Ingredients  ⏎  ⏎ 2 1/4 (285g) cups all purpose flour  ⏎ 1/4 tsp baking soda ⏎ 1/2 tsp baking powder  ⏎ 1 tsp corn starch  ⏎ 1 cup (200g) dark brown sugar  ⏎ 3 tbsp (37g) granulated sugar  ⏎ 1 egg + 1 egg yolk, cold ⏎ 1 cup (225g) unsalted butter, cold  ⏎ 1 tbsp vanilla bean paste ⏎ 1 cup (250g) semi sweet chocolate chips  ⏎ 1/2 cup (125g) milk chocolate chunks ⏎ Pinch of salt ⏎ 1/2 tsp instant	1377	30	1280	False	0		0.0		0	2	0	0		7.7	15.6	11.97		30.0	1.0	1280	0.8	12.0	15.6		1.83	1	3.8	67	3	0	720	0		0	True	False		https://www.youtube.com/watch?v=eNzWAWN2hsM	50461	720
Ashley Markle Treats	66	VHutIcveQDQ	7	short	430000	viral nutella stuffed chocolate chip cookies recipe 🍪🍫#shorts  #nutella #easydessert #easyrecipe	20250416	12979822	False	490	Howto & Style	0	1.0	1300	False	NUTELLA STUFFED COOKIES 🍪🍫🤤 ⏎  ⏎ Ingredients: ⏎ 4 dollops Nutella hazelnut spread ⏎ 4 slices Pillsbury chocolate chip cookie dough ⏎  ⏎ Instructions: ⏎ On a parchment lined baking sheet, place 4 dollops of Nutella spread and freeze for 30-60 minutes or until firm. Press slices of cookie dough flat and place 1 frozen Nutella dollop in the center of each slice. Form the dough around the Nutella to cover each doll	630	30	1280	False	4		0.0		0	18	2	6		16.5	65.5	7.37		29.97	1.0	1280	1.07	11.7	65.5		2.23	9	8.2	47	31	0	720	0		0	True	False		https://www.youtube.com/watch?v=VHutIcveQDQ	26489	720
Mad About Food	29	NbAaf79K4f4	8	short	31300	Salted Brown Butter Chocolate Chunk Cookies 🍪✨	20260228	12909584	False	172	People & Blogs	0	1.2	1600	False		0	30	1280	False	0	en	0.0		0	5	1	0	0	10.2	29.4	5.3	0.19	30.0	1.0	1280	0.91	7.2	25.0	10.25	5.12	2	4.1	17	5	14	720	25		0	False	False		https://www.youtube.com/watch?v=NbAaf79K4f4	75056	720
Foodporn	82	W5GSWMin8Fw	9	short	2900000	Making Michelin star chocolate chip cookies with @sable_boulangerie 🍪🤯	20260318	11630064	False	154	Entertainment	0	4.3	5000	False		0	30	1280	False	0	ja	0.0		0	15	3	7	0	11.0	82.1	5.97	17.06	29.97	1.0	1280	4.35	14.0	45.6	10.09	2.77	11	8.0	44	1	1	720	4		0	False	False		https://www.youtube.com/watch?v=W5GSWMin8Fw	75520	720
Ashley Markle Treats	73	E5t1qq6u0hI	10	short	430000	viral biscoff stuffed chocolate chip cookies recipe 🍪🍯 #shorts #biscoff #easydessert #easyrecipe	20250508	10246428	False	468	Howto & Style	0	0.7	667	False	BISCOFF STUFFED CHOCOLATE CHIP COOKIES 🍪🍯🤤 ⏎  ⏎ Ingredients: ⏎ 4 dollops Lotus Biscoff cookie butter ⏎ 4 slices Pillsbury chocolate chip cookie dough ⏎  ⏎ Instructions: ⏎ On a parchment lined baking sheet, place 4 dollops of biscoff cookie butter and freeze for 30-60 minutes or until firm. Press slices of cookie dough flat and place 1 frozen biscoff dollop in the center of each slice. Form the dough around the 	656	30	1280	False	4		0.0		0	12	2	8		9.9	72.6	3.67		30.0	1.0	1280	0.35	14.5	72.6		5.0	3	2.5	15	73	0	720	0		0	True	False		https://www.youtube.com/watch?v=E5t1qq6u0hI	21894	720
Jesha Ann Stevens	34	hUCchS2Rs9Y	11	short	1890000	Chocolate chip sourdough AND homemade whipped vanilla brown butter #sourdough #sourdoughbread #bread	20241001	8635300	False	687	People & Blogs	0	1.5	1300	False		0	60	1280	False	0	en	0.0		0	5	2	20	40	8.7	34.4	2.9	0.28	60.0	1.0	1280	2.12	12.6	24.5	5.59	5.35	3	5.2	33	1	25	720	18	128	0	False	False		https://www.youtube.com/watch?v=hUCchS2Rs9Y	12570	720
Tayyaba kiran	179	K5XJOJQ_z9E	12	short	1410000	A Peaceful Day: Baking choco chip cookies & Pakora Kadhi #pakistan #cooking #uk #cleaning #trending	20250629	8245518	False	416	People & Blogs	0	1.7	1400	False	I bought MECLAY LONDON Thick & Dense Shampoo at amazing discounted price from Daraz.  ⏎ Link Below:  ⏎ https://s.daraz.pk/s.bdiAV	125	30	1280	False	0	hi	0.0		1	36	4	6	75	12.0	179.4	0.1	0.05	30.0	2.0	1280	2.94	35.8	18.7	0.09	2.27	6	2.0	41	1	76	720	643	282	0	False	False		https://www.youtube.com/watch?v=K5XJOJQ_z9E	19821	720
Jose.elcook	70	n4_v0hhO4JA	13	short	5120000	GIANT chocolate chip cookies will put you in a coma and then revive you. #cookies #baking	20250411	7084428	False	495	Howto & Style	0	4.5	3200	False		0	30	1280	False	0	en-US	0.0		0	12	1	0	92	10.2	70.4	6.0	0.13	30.0	1.0	1280	1.09	13.1	3.2	0.09	5.13	2	1.7	15	1	91	720	260	242	0	False	False		https://www.youtube.com/watch?v=n4_v0hhO4JA	14312	720
Jenny Hoyos	13	-02rCdlWQwA	14	short	12400000	the only cookies i accept are chocolate chip 🍪	20250609	6474552	False	436	Entertainment	0	0.7	438	False	#funny	6	30	1280	False	1	en	0.0		0	0	0			0.0	13.2		0.19	30.0	1.0	1280	0.75	13.2	0.7		13.24	4	18.1	0	7	82	720	48	265	0	False	False		https://www.youtube.com/watch?v=-02rCdlWQwA	14850	720
AррIе​​‍‍‍‍ㅤ	60	S--5x7WFE2E	15	short	1770000	Minivlog#465 🙆🏻‍♀️Ungaluku endha recipe yepome sodhapitruku😂Chocolate chip cookies #diml #cookies	20250806	6351842	False	378	People & Blogs	0	0.3	198	False	Minivlog#465 🙆🏻‍♀️Ungaluku endha recipe yepome sodhapitruku😂Chocolate chip cookies #diml #cookies	97	60	1280	False	3	en-US	0.0		0	13	1	0	62	13.0	60.0	1.53	0.21	60.0	1.0	1280	2.05	13.0	19.5	0.1	3.08	11	11.0	50	1	61	720	217	356	0	False	False		https://www.youtube.com/watch?v=S--5x7WFE2E	16804	720
miso butter baby	39	Bnfz-vJg1AI	16	short	16700	🍪 😋brown butter chocolate chip cookies                     #chocolatechipcookies #chocolaterecipe	20241018	5663382	False	670	People & Blogs	0	2.1	1200	False	https://misobutterbaby.com/chocolate-chip-cookie-recipe/ ⏎ #chocolatechipcookierecipe #cookies	92	30	1280	False	2	en	0.0		1	7	2	0	100	10.7	39.2	5.33	0.27	30.0	1.0	1280	1.28	12.9	1.7	0.04	3.85	1	1.5	25	1	90	720	139	236	7	False	False	cookies | chocolate | chocolate chip cookies | best cookies | easy cookies | gilmore girls | dessert ideas	https://www.youtube.com/watch?v=Bnfz-vJg1AI	8453	720
Chuchington	38	TlryZMc6nmw	17	short	2830000	How to Make the BEST Cookies This Christmas	20241207	5546693	False	620	Entertainment	0	2.9	1600	False	#shorts #cookies #chocolate #chocolatechip #santa #christmas #cookierecipe	74	30	1280	False	7	en-US	0.0		0	5	1	0	80	7.9	38.2	1.87	0.07	30.0	1.0	1280	1.32	18.0	8.1	0.09	4.63	1	1.6	33	1	75	720	114	238	0	False	False		https://www.youtube.com/watch?v=TlryZMc6nmw	8946	720
Louis Gantus	34	6elCoGd6g8w	18	short	2540000	I found the best cookie #cooking #recipe #foodasmr #food	20250307	4960893	False	530	People & Blogs	0	1.1	562	False		0	30	1280	False	0	en-US	0.0		0	7	2	0	100	12.5	33.5	2.0	0.05	29.97	1.0	1280	0.86	13.2	0.4	0.08	2.81	1	1.8	12	0	99	720	145	263	0	False	False		https://www.youtube.com/watch?v=6elCoGd6g8w	9360	720
The Hayeks	52	0uu4E3SaMz4	19	short	4000000	homemade s’more cookies 🍪 #baking #cookies #asmrcooking #shorts #recipe	20250516	4554061	False	460	People & Blogs	0	3.7	1700	False		0	30	1280	False	0		0.0		0	10	1	10		11.6	51.5	6.87		30.0	1.0	1280	0.95	10.9	51.5		4.77	6	7.0	36	4	0	720	0		0	False	False		https://www.youtube.com/watch?v=0uu4E3SaMz4	9900	720
TheContrarianMoney	30	KPrr6x8lwJM	20	short	320000	The Best Chocolate Chip Cookies 🍪	20260112	4499195	False	219	People & Blogs	0	1.9	847	False	The Best Chocolate Chip Cookies 🍪 ⏎  ⏎ This is the best and only chocolate chip cookie recipe you will ever need. These are my mom’s famous cookies she’s been making forever, and she finally said I could share them. They’re soft, chewy, loaded with chocolate, and made with simple ingredients you already have at home. ⏎  ⏎ Ingredients ⏎  ⏎ • 1½ cups butter, softened (3 sticks) / 340 g ⏎ • 1¼ cups granulated suga	1198	30	1280	False	0	en	0.0		0	5	3	0	100	10.1	29.8	4.3	0.11	30.0	1.0	1280	0.82	16.5	0.1	0.04	3.04	2	4.0	33	2	100	718	128	259	0	True	False		https://www.youtube.com/watch?v=KPrr6x8lwJM	20544	718
